"25104",\N,"1"
"15975",\N,"1"
"7207",\N,"1"
"33680",\N,"1"
"54005","55005","1"
"64166","29047","1"
"79604",\N,"1"
"92521",\N,"1"
"25570","54099","1"
"54137","55083","1"
"44629","39157","1"
"25836","54081","1"
"54218",\N,"1"
"26040","54051","1"
"54410","55141","1"
"16621","42061","1"
"33932",\N,"1"
"65100",\N,"1"
"45018",\N,"1"
"16755",\N,"1"
"7898",\N,"1"
"92811",\N,"1"
"26624","54007","1"
"65437",\N,"1"
"65464","29215","1"
"45221",\N,"1"
"17030","42043","1"
"93042","6111","1"
"45301","39057","1"
"34359",\N,"1"
"27198",\N,"1"
"45347","39037","1"
"54723","55093","1"
"17217","42055","1"
"8217","34001","1"
"65772","29009","1"
"54786",\N,"1"
"17317","42133","1"
"8328","34015","1"
"80642","8001","1"
"45556",\N,"1"
"17375",\N,"1"
"93452","6079","1"
"66075","20107","1"
"80827","8093","1"
"45675",\N,"1"
"34726",\N,"1"
"34874",\N,"1"
"27627",\N,"1"
"45846","39037","1"
"97494","41019","1"
"93675","6019","1"
"27810","37013","1"
"97602",\N,"1"
"8980",\N,"1"
"66780","20011","1"
"81327","8083","1"
"17456",\N,"1"
"28020","37045","1"
"46148","18065","1"
"97865","41023","1"
"9708",\N,"1"
"67102",\N,"1"
"604",\N,"1"
"82324","56007","1"
"10045",\N,"1"
"67430","20089","1"
"772","72087","1"
"82717",\N,"1"
"67547","20047","1"
"83100",\N,"1"
"18059","42077","1"
"55704","27115","1"
"35769","1071","1"
"10200",\N,"1"
"67752","20063","1"
"980",\N,"1"
"83300",\N,"1"
"46576",\N,"1"
"55773",\N,"1"
"83448","16043","1"
"36037","1013","1"
"83631","16015","1"
"46799","18179","1"
"36130",\N,"1"
"1140",\N,"1"
"36340","1061","1"
"68428","31109","1"
"56156","27133","1"
"68523","31109","1"
"1366","25027","1"
"68739","31027","1"
"98567",\N,"1"
"95114",\N,"1"
"68854","31081","1"
"56447","27035","1"
"11120",\N,"1"
"37071",\N,"1"
"98829","53047","1"
"37133",\N,"1"
"11337",\N,"1"
"70039","22089","1"
"1901","25009","1"
"47680",\N,"1"
"47885","18167","1"
"37308","47065","1"
"70341","22007","1"
"99151","53065","1"
"37359","47103","1"
"57525",\N,"1"
"95527","6105","1"
"85211",\N,"1"
"37662",\N,"1"
"11759",\N,"1"
"70585","22039","1"
"2311",\N,"1"
"85261",\N,"1"
"58364",\N,"1"
"29814",\N,"1"
"85354","4013","1"
"19997",\N,"1"
"20039",\N,"1"
"58788","38049","1"
"99978",\N,"1"
"30027",\N,"1"
"71209","22073","1"
"71367","22039","1"
"20160",\N,"1"
"38163",\N,"1"
"85752",\N,"1"
"20263",\N,"1"
"59618",\N,"1"
"38317","47005","1"
"12244",\N,"1"
"2869",\N,"1"
"86016","4005","1"
"20525",\N,"1"
"48615","26057","1"
"38454","47081","1"
"96140","6061","1"
"30210",\N,"1"
"72017","5117","1"
"48710","26017","1"
"48798",\N,"1"
"38641","28033","1"
"72203",\N,"1"
"3126",\N,"1"
"87007","35006","1"
"48850","26107","1"
